rcdc_cso,year,INCa/INSERM/DGOS pubs,National Cancer Institute pubs,Cancer Research UK pubs,Wellcome Trust pubs,National Health and Medical Research Council pubs
RARE DISEASES * 5. Treatment,2012,194.7924603174602,926.3159382284482,94.28829365079369,6.885714285714287,88.34117965367972
RARE DISEASES * 5. Treatment,2013,166.55654761904773,967.4333055833149,97.80396825396826,11.700992063492059,106.14184704184706
RARE DISEASES * 5. Treatment,2014,161.1965007215006,904.2901316276381,78.73650793650793,11.892857142857142,102.67759046509045
GENETICS * 1. Biology,2012,150.779365079365,1801.4129259629215,277.02384559884547,75.89880952380953,301.9415404040398
GENETICS * 1. Biology,2013,146.4661616161615,1747.8263708513678,251.64682539682525,74.62103174603179,352.4829365079356
RARE DISEASES * 5. Treatment,2015,144.8081709956709,679.2526196026224,66.5271825396826,11.331944444444444,96.30626318126319
GENETICS * 1. Biology,2010,142.9801587301587,1272.7386724386758,248.19107142857123,31.98373015873016,163.81587301587297
GENETICS * 1. Biology,2011,141.38373015873015,1454.8366702741732,265.81170634920653,51.5291666666667,228.9292027417025
GENETICS * 1. Biology,2014,140.13614718614713,1580.4059463684462,231.30992063492047,56.881746031746054,283.0662878787877
RARE DISEASES * 5. Treatment,2011,138.9375,833.6608627483697,90.87460317460317,5.998809523809523,68.822077922078
RARE DISEASES * 5. Treatment,2010,127.0617424242424,622.7835858585873,54.453174603174695,2.88452380952381,49.25456349206354
RARE DISEASES * 5. Treatment,2016,106.66737012987014,466.9293317793307,49.4662698412699,6.54345238095238,103.86746031746034
GENETICS * 1. Biology,2009,95.9882936507936,765.7595779220799,176.19404761904744,26.840079365079358,161.41230158730167
HEMATOLOGY * 5. Treatment,2012,89.26547619047626,344.1681388056382,33.99980158730158,2.576190476190476,32.537932900432885
HEMATOLOGY * 5. Treatment,2013,88.48392857142854,382.0655525030521,24.438293650793636,4.184920634920636,48.1745490620491
GENETICS * 1. Biology,2015,76.28710317460326,1113.9151917527017,214.44384920634909,59.162301587301606,260.27427849927835
GENETICS * 1. Biology,2016,75.45932539682539,729.8189574314611,122.66388888888889,38.778571428571425,188.56042568542537
DIGESTIVE DISEASES * 5. Treatment,2012,74.80238095238099,268.870442520442,34.9357142857143,7.791666666666667,32.91213924963925
BREAST CANCER * 5. Treatment,2012,74.20833333333333,380.5406135531135,49.23333333333335,5.1000000000000005,41.275000000000006
HEMATOLOGY * 5. Treatment,2015,70.54682539682548,258.07738511488424,16.61051587301587,2.175595238095238,36.86003302253304
BREAST CANCER * 5. Treatment,2013,68.4559523809524,346.3000000000001,28.23333333333333,6.283333333333333,57.266666666666666
HEMATOLOGY * 5. Treatment,2014,67.036976911977,288.46201714951667,22.93055555555555,1.8809523809523807,37.491677766677775
DIGESTIVE DISEASES * 5. Treatment,2011,66.34227994228002,218.64064962814953,30.558333333333334,2.2583333333333333,18.766414141414135
BREAST CANCER * 5. Treatment,2015,65.42142857142858,203.70555555555543,29.341666666666672,5.533333333333333,23.910714285714285
DIGESTIVE DISEASES * 5. Treatment,2013,64.57593795093796,268.77157703407653,37.01785714285714,5.36482683982684,51.827759740259786
RARE DISEASES * 5. Treatment,2009,62.630357142857186,378.21619769119604,42.482142857142854,1.6053571428571427,34.65119047619048
RARE DISEASES * 1. Biology,2012,61.831944444444524,631.6012015762036,66.3450757575758,12.672619047619047,73.38717532467543
GENETICS * 1. Biology,2008,61.274404761904805,394.2060897435895,104.0438492063492,8.521428571428572,79.22539682539683
"RARE DISEASES * 4. Early Detection, Diagnosis",2013,58.60182178932184,318.1903499278497,31.309529359529357,4.555952380952381,44.351623376623394
HEMATOLOGY * 5. Treatment,2010,56.42840909090912,262.59368686868623,14.53134920634921,0.41666666666666663,21.52142857142856
"RARE DISEASES * 4. Early Detection, Diagnosis",2015,56.05853174603179,202.12713952713946,37.910714285714285,2.616666666666667,35.34761904761904
"BREAST CANCER * 4. Early Detection, Diagnosis",2015,55.975,383.3237484737483,36.438095238095244,2.2666666666666666,36.563095238095244
BREAST CANCER * 5. Treatment,2014,55.216666666666676,332.5922619047616,24.525000000000002,1.783333333333333,40.25476190476191
GENETICS * 2. Etiology,2012,54.901136363636425,778.4729617604668,83.51170634920642,45.386904761904795,148.01884920634933
HEMATOLOGY * 5. Treatment,2011,54.40654761904767,284.8364288489287,31.053769841269837,1.1833333333333333,28.693290043290034
"RARE DISEASES * 4. Early Detection, Diagnosis",2011,54.215476190476245,252.91924603174604,35.07222222222222,2.7095238095238097,36.61944444444444
GENETICS * 2. Etiology,2011,54.19411976911983,664.5365842490852,87.2962301587302,51.50694444444449,142.2871212121211
RARE DISEASES * 1. Biology,2013,54.029852092352144,627.3498376623396,73.05221861471863,15.748412698412693,95.9906746031747
"RARE DISEASES * 4. Early Detection, Diagnosis",2012,53.68174603174602,304.75912698412634,39.63273809523811,4.909523809523809,24.086111111111105
"RARE DISEASES * 4. Early Detection, Diagnosis",2014,53.01450216450219,268.91139369889333,37.10238095238095,3.583333333333334,32.134920634920626
RARE DISEASES * 5. Treatment,2017,52.86709956709962,254.44628427128376,29.38571428571427,6.250000000000002,69.35081168831181
HEMATOLOGY * 5. Treatment,2016,52.85725108225115,174.737028249528,16.829761904761902,1.1464285714285714,36.56031746031745
"BREAST CANCER * 4. Early Detection, Diagnosis",2012,52.375000000000014,489.1988095238089,50.16666666666666,7.35,52.408333333333346
"BREAST CANCER * 4. Early Detection, Diagnosis",2011,52.225,348.2174603174603,39.24999999999999,4.65952380952381,40.20396825396826
