="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1",="1.366***",="",="0.957***",="",="0.980***",="",="1.366***",=""
="",="(0.062)",="",="(0.061)",="",="(0.090)",="",="(0.084)",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-0.008",="-0.008",="-0.024",="-0.023",="-0.449",="-0.447",="0.000",="0.000"
="",="(0.059)",="(0.058)",="(0.057)",="(0.057)",="(0.419)",="(0.419)",="(.)",="(.)"
="National Cancer Institute",="-0.522***",="-0.522***",="-0.484***",="-0.484***",="-0.242*",="-0.238*",="0.000",="0.000"
="",="(0.044)",="(0.044)",="(0.043)",="(0.043)",="(0.133)",="(0.133)",="(.)",="(.)"
="National Health and Medical Rese",="-0.022",="-0.022",="0.020",="0.019",="0.319*",="0.324*",="0.000",="0.000"
="",="(0.053)",="(0.052)",="(0.051)",="(0.051)",="(0.171)",="(0.172)",="(.)",="(.)"
="Wellcome Trust",="-0.408***",="-0.408***",="0.024",="0.019",="0.108",="0.100",="0.000",="0.000"
="",="(0.089)",="(0.089)",="(0.087)",="(0.087)",="(0.172)",="(0.172)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
