="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.918***",="1.918***",="0.600***",="1.918***",="3.662**",="3.662***",="4.326***",="3.662**"
="",="(0.147)",="(0.145)",="(0.139)",="(0.146)",="(1.428)",="(1.348)",="(1.665)",="(1.429)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="1.705***",="1.707***",="1.666***",="0.000",="-0.433",="-0.280",="-0.381",="0.000"
="",="(0.165)",="(0.164)",="(0.157)",="(.)",="(0.682)",="(0.637)",="(0.904)",="(.)"
="National Cancer Institute",="0.725***",="0.746***",="0.839***",="0.000",="-0.694",="-0.576",="-0.556",="0.000"
="",="(0.085)",="(0.084)",="(0.078)",="(.)",="(0.671)",="(0.626)",="(0.758)",="(.)"
="National Health and Medical Rese",="0.222**",="0.254**",="0.373***",="0.000",="-3.237***",="-3.320***",="-4.222",="0.000"
="",="(0.101)",="(0.100)",="(0.093)",="(.)",="(0.841)",="(0.812)",="(2.982)",="(.)"
="Wellcome Trust",="-0.558***",="-0.568***",="0.912***",="0.000",="-2.931***",="-2.325***",="-1.963**",="0.000"
="",="(0.176)",="(0.173)",="(0.154)",="(.)",="(0.746)",="(0.710)",="(0.918)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="0.745***",="0.745***",="0.784***",="0.745***",="-0.998",="-0.998",="-1.006",="-0.998"
="",="(0.241)",="(0.239)",="(0.230)",="(0.246)",="(1.441)",="(1.362)",="(1.442)",="(1.442)"
="post_flag=1 # National Cancer Institute",="0.249",="0.249",="0.246",="0.249",="-1.714",="-1.714",="-1.721",="-1.714"
="",="(0.159)",="(0.158)",="(0.151)",="(0.157)",="(1.446)",="(1.366)",="(1.447)",="(1.440)"
="post_flag=1 # National Health and Medical Rese",="0.689***",="0.689***",="0.656***",="0.689***",="-1.528",="-1.528",="-1.621",="-1.528"
="",="(0.193)",="(0.191)",="(0.182)",="(0.188)",="(1.968)",="(1.911)",="(3.082)",="(1.429)"
="post_flag=1 # Wellcome Trust",="-0.168",="-0.168",="-0.486",="-0.168",="-4.111***",="-4.111***",="-4.090**",="-4.111***"
="",="(0.341)",="(0.337)",="(0.314)",="(0.309)",="(1.531)",="(1.456)",="(1.614)",="(1.506)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-0.845***",="-0.939***",="-1.112***",="",="-0.965***",="-1.043***",="-1.057***",=""
="",="(0.197)",="(0.195)",="(0.188)",="",="(0.201)",="(0.200)",="(0.328)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.267***",="-0.195***",="-0.077",="",="-1.952***",="-1.739***",="-2.056***",=""
="",="(0.074)",="(0.074)",="(0.071)",="",="(0.405)",="(0.370)",="(0.617)",=""
="start_year=2009",="0.323***",="0.342***",="0.195***",="",="-4.146***",="-4.549***",="-5.735**",=""
="",="(0.068)",="(0.068)",="(0.065)",="",="(0.533)",="(0.531)",="(2.343)",=""
="start_year=2010",="0.245***",="0.326***",="0.358***",="",="-1.979***",="-1.248***",="-1.085**",=""
="",="(0.094)",="(0.094)",="(0.091)",="",="(0.389)",="(0.333)",="(0.435)",=""
="start_year=2011",="-0.124",="-0.007",="0.059",="",="-0.498",="-0.332",="-0.338",=""
="",="(0.083)",="(0.082)",="(0.079)",="",="(0.582)",="(0.555)",="(0.613)",=""
="start_year=2012",="-0.515***",="-0.437***",="-0.178***",="",="-1.851***",="-1.749***",="-2.182***",=""
="",="(0.071)",="(0.071)",="(0.067)",="",="(0.366)",="(0.332)",="(0.718)",=""
="F",="",="-0.901***",="-0.883***",="",="",="-1.407***",="-1.314***",=""
="",="",="(0.080)",="(0.078)",="",="",="(0.219)",="(0.327)",=""
="M",="",="1.074***",="0.259***",="",="",="0.729**",="0.887",=""
="",="",="(0.076)",="(0.076)",="",="",="(0.291)",="(0.560)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.453***",="",="",="",="-0.104",=""
="",="",="",="(0.004)",="",="",="",="(0.401)",=""
="rsr_career_age_2",="",="",="-0.007***",="",="",="",="-0.001",=""
="",="",="",="(0.000)",="",="",="",="(0.011)",=""
="Constant",="4.533***",="4.145***",="0.694***",="5.149***",="8.053***",="7.811***",="9.488**",="0.727***"
="",="(0.087)",="(0.111)",="(0.103)",="(0.022)",="(0.812)",="(0.735)",="(4.013)",="(0.002)"
="Observations",="132913",="132913",="132913",="132913",="98197",="98197",="98197",="98197"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
