="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1",="19.962***",="",="12.882***",="",="12.944***",="",="19.962***",=""
="",="(1.258)",="",="(1.235)",="",="(1.891)",="",="(1.785)",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="9.296***",="9.296***",="9.028***",="9.046***",="3.162",="3.208",="0.000",="0.000"
="",="(1.182)",="(1.178)",="(1.158)",="(1.155)",="(6.050)",="(6.033)",="(.)",="(.)"
="National Cancer Institute",="1.405",="1.405",="2.058**",="2.060**",="5.314**",="5.404**",="0.000",="0.000"
="",="(0.892)",="(0.889)",="(0.874)",="(0.872)",="(2.436)",="(2.430)",="(.)",="(.)"
="National Health and Medical Rese",="0.934",="0.934",="1.655",="1.645",="7.804**",="7.897**",="0.000",="0.000"
="",="(1.060)",="(1.056)",="(1.038)",="(1.036)",="(3.178)",="(3.182)",="(.)",="(.)"
="Wellcome Trust",="-4.522**",="-4.522**",="2.995*",="2.870",="4.965*",="4.796*",="0.000",="0.000"
="",="(1.800)",="(1.794)",="(1.767)",="(1.764)",="(2.908)",="(2.899)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
