="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="",="",="",="(0.090)",="(0.090)",="(0.090)",="(0.090)",="(0.090)",="(0.090)",="(0.236)",="(0.237)",="(0.233)",="",="",=""
="rsr_career_age_2",="",="",="",="0.015***",="0.014***",="0.013***",="0.015***",="0.014***",="0.013***",="0.020***",="0.019***",="0.016***",="",="",=""
="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.005)",="(0.005)",="(0.005)",="",="",=""
="F",="",="",="",="-1.751**",="-1.776**",="-1.775**",="-1.751**",="-1.776**",="-1.775**",="-2.125",="-2.176",="-2.168",="",="",=""
="",="",="",="",="(0.834)",="(0.833)",="(0.832)",="(0.834)",="(0.833)",="(0.832)",="(1.725)",="(1.729)",="(1.726)",="",="",=""
="M",="",="",="",="4.082***",="3.837***",="3.540***",="4.082***",="3.837***",="3.540***",="2.371",="1.988",="1.591",="",="",=""
="",="",="",="",="(0.768)",="(0.767)",="(0.765)",="(0.768)",="(0.767)",="(0.765)",="(1.938)",="(1.943)",="(1.940)",="",="",=""
="UNKNOWN",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Constant",="74.345***",="74.365***",="79.010***",="78.752***",="77.998***",="81.226***",="78.752***",="77.998***",="81.226***",="79.953***",="78.928***",="80.970***",="62.777***",="62.795***",="72.315***"
="",="(1.427)",="(1.424)",="(3.455)",="(1.724)",="(1.721)",="(3.577)",="(1.724)",="(1.721)",="(3.577)",="(4.193)",="(4.187)",="(5.129)",="(0.272)",="(0.272)",="(1.072)"
="Observations",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221",="112221"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
