="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="(0.078)",="(0.078)",="(0.078)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="(0.235)",="(0.235)",="(0.235)",="",="",=""
="start_year=2009",="0.323***",="0.323***",="0.323***",="0.195***",="0.196***",="0.197***",="0.195***",="0.196***",="0.197***",="0.167",="0.168",="0.171",="",="",=""
="",="(0.075)",="(0.075)",="(0.075)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.209)",="(0.209)",="(0.210)",="",="",=""
="start_year=2010",="0.245***",="0.245***",="0.245***",="0.358***",="0.357***",="0.357***",="0.358***",="0.357***",="0.357***",="0.179",="0.179",="0.178",="",="",=""
="",="(0.082)",="(0.082)",="(0.082)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.231)",="(0.231)",="(0.231)",="",="",=""
="start_year=2011",="-0.124",="-0.124",="-0.124",="0.059",="0.059",="0.058",="0.059",="0.059",="0.058",="0.016",="0.016",="0.015",="",="",=""
="",="(0.083)",="(0.083)",="(0.083)",="(0.080)",="(0.080)",="(0.080)",="(0.080)",="(0.080)",="(0.080)",="(0.242)",="(0.242)",="(0.242)",="",="",=""
="start_year=2012",="-0.515***",="-0.515***",="-0.515***",="-0.178**",="-0.178**",="-0.181**",="-0.178**",="-0.178**",="-0.181**",="-0.168",="-0.169",="-0.174",="",="",=""
="",="(0.085)",="(0.085)",="(0.085)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="(0.202)",="(0.202)",="(0.202)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="1.087***",="",="",="0.184",="",="",="0.184",="",="",="0.197",="",="",="1.087***",=""
="",="",="(0.322)",="",="",="(0.309)",="",="",="(0.309)",="",="",="(0.135)",="",="",="(0.126)",=""
="post_2",="",="1.515***",="",="",="0.392",="",="",="0.392",="",="",="0.404**",="",="",="1.515***",=""
="",="",="(0.322)",="",="",="(0.309)",="",="",="(0.309)",="",="",="(0.182)",="",="",="(0.162)",=""
="post_3",="",="2.099***",="",="",="0.770**",="",="",="0.770**",="",="",="0.780***",="",="",="2.099***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.199)",="",="",="(0.176)",=""
="post_4",="",="2.605***",="",="",="1.085***",="",="",="1.085***",="",="",="1.091***",="",="",="2.605***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.259)",="",="",="(0.220)",=""
="post_5",="",="2.286***",="",="",="0.589*",="",="",="0.589*",="",="",="0.589**",="",="",="2.286***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.250)",="",="",="(0.211)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="0.691",="",="",="0.716*",="",="",="0.716*",="",="",="0.713***",="",="",="0.691***",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.247)",="",="",="(0.225)",=""
="post_1 # National Cancer Institute",="",="0.574*",="",="",="0.573*",="",="",="0.573*",="",="",="0.573***",="",="",="0.574***",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.186)",="",="",="(0.185)",=""
="post_1 # National Health and Medical Rese",="",="0.689*",="",="",="0.668*",="",="",="0.668*",="",="",="0.671***",="",="",="0.689***",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.252)",="",="",="(0.247)",=""
="post_1 # Wellcome Trust",="",="0.058",="",="",="-0.144",="",="",="-0.144",="",="",="-0.121",="",="",="0.058",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.286)",="",="",="(0.267)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="0.905**",="",="",="0.937**",="",="",="0.937**",="",="",="0.934***",="",="",="0.905***",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.304)",="",="",="(0.275)",=""
="post_2 # National Cancer Institute",="",="0.354",="",="",="0.352",="",="",="0.352",="",="",="0.352*",="",="",="0.354**",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.195)",="",="",="(0.175)",=""
="post_2 # National Health and Medical Rese",="",="0.554",="",="",="0.527",="",="",="0.527",="",="",="0.530**",="",="",="0.554***",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.225)",="",="",="(0.202)",=""
="post_2 # Wellcome Trust",="",="-0.288",="",="",="-0.548",="",="",="-0.548",="",="",="-0.519",="",="",="-0.288",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.340)",="",="",="(0.304)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="0.594",="",="",="0.633",="",="",="0.633",="",="",="0.629*",="",="",="0.594**",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.354)",="",="",="(0.297)",=""
="post_3 # National Cancer Institute",="",="0.137",="",="",="0.134",="",="",="0.134",="",="",="0.135",="",="",="0.137",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.215)",="",="",="(0.199)",=""
="post_3 # National Health and Medical Rese",="",="0.444",="",="",="0.411",="",="",="0.411",="",="",="0.415*",="",="",="0.444**",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.250)",="",="",="(0.220)",=""
="post_3 # Wellcome Trust",="",="-0.304",="",="",="-0.622",="",="",="-0.622",="",="",="-0.587*",="",="",="-0.304",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.356)",="",="",="(0.335)",=""
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="0.488",="",="",="0.534",="",="",="0.534",="",="",="0.529",="",="",="0.488",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.395)",="",="",="(0.330)",=""
="post_4 # National Cancer Institute",="",="-0.064",="",="",="-0.068",="",="",="-0.068",="",="",="-0.067",="",="",="-0.064",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.272)",="",="",="(0.235)",=""
="post_4 # National Health and Medical Rese",="",="0.743*",="",="",="0.704*",="",="",="0.704*",="",="",="0.708**",="",="",="0.743**",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.346)",="",="",="(0.319)",=""
="post_4 # Wellcome Trust",="",="-0.014",="",="",="-0.390",="",="",="-0.390",="",="",="-0.348",="",="",="-0.014",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.764)",="",="",="(0.814)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="1.049**",="",="",="1.102**",="",="",="1.102**",="",="",="1.096***",="",="",="1.049***",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.393)",="",="",="(0.342)",=""
="post_5 # National Cancer Institute",="",="0.243",="",="",="0.239",="",="",="0.239",="",="",="0.239",="",="",="0.243",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.260)",="",="",="(0.224)",=""
="post_5 # National Health and Medical Rese",="",="1.013**",="",="",="0.968**",="",="",="0.968**",="",="",="0.973***",="",="",="1.013***",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.316)",="",="",="(0.261)",=""
="post_5 # Wellcome Trust",="",="-0.291",="",="",="-0.725",="",="",="-0.725",="",="",="-0.677*",="",="",="-0.291",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.407)",="",="",="(0.393)",=""
="post_1",="",="",="1.841***",="",="",="0.239",="",="",="0.239",="",="",="0.281",="",="",="1.841***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.205)",="",="",="(0.182)"
="post_2",="",="",="2.269***",="",="",="0.449",="",="",="0.449",="",="",="0.492*",="",="",="2.269***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.252)",="",="",="(0.213)"
="post_3",="",="",="2.852***",="",="",="0.829**",="",="",="0.829**",="",="",="0.871***",="",="",="2.852***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.261)",="",="",="(0.221)"
="post_4",="",="",="3.358***",="",="",="1.145***",="",="",="1.145***",="",="",="1.185***",="",="",="3.358***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.322)",="",="",="(0.268)"
="post_5",="",="",="3.040***",="",="",="0.651",="",="",="0.651",="",="",="0.687**",="",="",="3.040***"
="",="",="",="(0.421)",="",="",="(0.406)",="",="",="(0.406)",="",="",="(0.317)",="",="",="(0.261)"
="pre_-1",="",="",="1.280***",="",="",="0.156",="",="",="0.156",="",="",="0.191",="",="",="1.280***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.180)",="",="",="(0.166)"
="pre_-2",="",="",="0.935**",="",="",="0.071",="",="",="0.071",="",="",="0.099",="",="",="0.935***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.146)",="",="",="(0.145)"
="pre_-3",="",="",="0.713*",="",="",="0.123",="",="",="0.123",="",="",="0.143",="",="",="0.713***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.129)",="",="",="(0.133)"
="pre_-4",="",="",="0.270",="",="",="-0.032",="",="",="-0.032",="",="",="-0.021",="",="",="0.270**"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.121)",="",="",="(0.124)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="1.323***",="",="",="-0.047",="",="",="-0.047",="",="",="-0.008",="",="",="1.323***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.405)",="",="",="(0.187)",="",="",="(0.168)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="1.287**",="",="",="1.329**",="",="",="1.329**",="",="",="1.324***",="",="",="1.287***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.320)",="",="",="(0.289)"
="post_1 # National Cancer Institute",="",="",="0.785*",="",="",="0.782*",="",="",="0.782*",="",="",="0.782***",="",="",="0.785***"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.242)",="",="",="(0.230)"
="post_1 # National Health and Medical Rese",="",="",="1.050**",="",="",="1.014**",="",="",="1.014**",="",="",="1.019***",="",="",="1.050***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.310)",="",="",="(0.296)"
="post_1 # Wellcome Trust",="",="",="0.192",="",="",="-0.151",="",="",="-0.151",="",="",="-0.109",="",="",="0.192"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.406)",="",="",="(0.362)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="1.502**",="",="",="1.551***",="",="",="1.551***",="",="",="1.545***",="",="",="1.502***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.376)",="",="",="(0.330)"
="post_2 # National Cancer Institute",="",="",="0.565",="",="",="0.561",="",="",="0.561",="",="",="0.562**",="",="",="0.565**"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.263)",="",="",="(0.227)"
="post_2 # National Health and Medical Rese",="",="",="0.914*",="",="",="0.873*",="",="",="0.873*",="",="",="0.878***",="",="",="0.914***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.296)",="",="",="(0.262)"
="post_2 # Wellcome Trust",="",="",="-0.154",="",="",="-0.554",="",="",="-0.554",="",="",="-0.506",="",="",="-0.154"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.446)",="",="",="(0.383)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="1.190**",="",="",="1.246**",="",="",="1.246**",="",="",="1.240***",="",="",="1.190***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.417)",="",="",="(0.349)"
="post_3 # National Cancer Institute",="",="",="0.347",="",="",="0.343",="",="",="0.343",="",="",="0.344",="",="",="0.347"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.272)",="",="",="(0.243)"
="post_3 # National Health and Medical Rese",="",="",="0.805",="",="",="0.757",="",="",="0.757",="",="",="0.763**",="",="",="0.805***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.319)",="",="",="(0.276)"
="post_3 # Wellcome Trust",="",="",="-0.171",="",="",="-0.627",="",="",="-0.627",="",="",="-0.572",="",="",="-0.171"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.461)",="",="",="(0.419)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="1.084*",="",="",="1.147**",="",="",="1.147**",="",="",="1.139**",="",="",="1.084***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.461)",="",="",="(0.388)"
="post_4 # National Cancer Institute",="",="",="0.146",="",="",="0.141",="",="",="0.141",="",="",="0.142",="",="",="0.146"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.333)",="",="",="(0.284)"
="post_4 # National Health and Medical Rese",="",="",="1.103**",="",="",="1.050**",="",="",="1.050**",="",="",="1.056***",="",="",="1.103***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.405)",="",="",="(0.368)"
="post_4 # Wellcome Trust",="",="",="0.119",="",="",="-0.394",="",="",="-0.394",="",="",="-0.332",="",="",="0.119"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.788)",="",="",="(0.844)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="1.645***",="",="",="1.715***",="",="",="1.715***",="",="",="1.707***",="",="",="1.645***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.461)",="",="",="(0.397)"
="post_5 # National Cancer Institute",="",="",="0.453",="",="",="0.448",="",="",="0.448",="",="",="0.449",="",="",="0.453"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.325)",="",="",="(0.276)"
="post_5 # National Health and Medical Rese",="",="",="1.373***",="",="",="1.314***",="",="",="1.314***",="",="",="1.321***",="",="",="1.373***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.384)",="",="",="(0.318)"
="post_5 # Wellcome Trust",="",="",="-0.158",="",="",="-0.729",="",="",="-0.729",="",="",="-0.660",="",="",="-0.158"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.508)",="",="",="(0.468)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="0.956",="",="",="0.984*",="",="",="0.984*",="",="",="0.981***",="",="",="0.956***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.264)",="",="",="(0.259)"
="pre_-1 # National Cancer Institute",="",="",="0.273",="",="",="0.271",="",="",="0.271",="",="",="0.271",="",="",="0.273"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.184)",="",="",="(0.174)"
="pre_-1 # National Health and Medical Rese",="",="",="0.547",="",="",="0.524",="",="",="0.524",="",="",="0.527**",="",="",="0.547***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.212)",="",="",="(0.204)"
="pre_-1 # Wellcome Trust",="",="",="-0.080",="",="",="-0.309",="",="",="-0.309",="",="",="-0.281",="",="",="-0.080"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.298)",="",="",="(0.266)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="0.541",="",="",="0.562",="",="",="0.562",="",="",="0.560***",="",="",="0.541**"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.207)",="",="",="(0.216)"
="pre_-2 # National Cancer Institute",="",="",="0.189",="",="",="0.188",="",="",="0.188",="",="",="0.188",="",="",="0.189"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.155)",="",="",="(0.153)"
="pre_-2 # National Health and Medical Rese",="",="",="0.484",="",="",="0.466",="",="",="0.466",="",="",="0.468***",="",="",="0.484***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.178)",="",="",="(0.184)"
="pre_-2 # Wellcome Trust",="",="",="0.200",="",="",="0.029",="",="",="0.029",="",="",="0.049",="",="",="0.200"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.292)",="",="",="(0.289)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="0.295",="",="",="0.309",="",="",="0.309",="",="",="0.307",="",="",="0.295"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.191)",="",="",="(0.201)"
